MTU,Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
2019-01-01 00:00:00,3232,2814
2019-01-01 01:00:00,3247,2901
2019-01-01 02:00:00,3286,3217
2019-01-01 03:00:00,3360,3515
2019-01-01 04:00:00,3364,3737
2019-01-01 05:00:00,3371,4041
2019-01-01 06:00:00,3370,4103
2019-01-01 07:00:00,3387,4034
2019-01-01 08:00:00,3306,3821
2019-01-01 09:00:00,3215,2982
2019-01-01 10:00:00,2971,3273
2019-01-01 11:00:00,3020,3475
2019-01-01 12:00:00,3159,3388
2019-01-01 13:00:00,3320,3462
2019-01-01 14:00:00,3319,3880
2019-01-01 15:00:00,3333,4087
2019-01-01 16:00:00,3340,4362
2019-01-01 17:00:00,3339,4635
2019-01-01 18:00:00,3356,4760
2019-01-01 19:00:00,3234,4789
2019-01-01 20:00:00,3199,4809
2019-01-01 21:00:00,3225,4851
2019-01-01 22:00:00,3260,4748
2019-01-01 23:00:00,3277,4606
2019-01-02 00:00:00,3234,4371
2019-01-02 01:00:00,3342,4424
2019-01-02 02:00:00,3381,4481
2019-01-02 03:00:00,3374,4551
2019-01-02 04:00:00,3377,4337
2019-01-02 05:00:00,3383,4109
2019-01-02 06:00:00,3363,3664
2019-01-02 07:00:00,3347,3977
2019-01-02 08:00:00,3374,3108
2019-01-02 09:00:00,3347,2626
2019-01-02 10:00:00,3286,2261
2019-01-02 11:00:00,3235,2101
2019-01-02 12:00:00,3105,2013
2019-01-02 13:00:00,2945,1552
2019-01-02 14:00:00,2804,1051
2019-01-02 15:00:00,2314,1188
2019-01-02 16:00:00,2104,1027
2019-01-02 17:00:00,1538,845
2019-01-02 18:00:00,1432,929
2019-01-02 19:00:00,1227,965
2019-01-02 20:00:00,1331,999
2019-01-02 21:00:00,1270,735
2019-01-02 22:00:00,1420,673
2019-01-02 23:00:00,1807,806
2019-01-03 00:00:00,1414,802
2019-01-03 01:00:00,2046,768
2019-01-03 02:00:00,2073,833
2019-01-03 03:00:00,1731,591
2019-01-03 04:00:00,1638,565
2019-01-03 05:00:00,1392,547
2019-01-03 06:00:00,1525,505
2019-01-03 07:00:00,1710,530
2019-01-03 08:00:00,1717,516
2019-01-03 09:00:00,1858,600
2019-01-03 10:00:00,1784,519
2019-01-03 11:00:00,1818,394
2019-01-03 12:00:00,1436,439
2019-01-03 13:00:00,1433,491
2019-01-03 14:00:00,1143,409
2019-01-03 15:00:00,1007,533
2019-01-03 16:00:00,1029,770
2019-01-03 17:00:00,778,621
2019-01-03 18:00:00,853,507
2019-01-03 19:00:00,891,632
2019-01-03 20:00:00,1148,642
2019-01-03 21:00:00,1150,608
2019-01-03 22:00:00,853,458
2019-01-03 23:00:00,760,311
2019-01-04 00:00:00,812,306
2019-01-04 01:00:00,846,212
2019-01-04 02:00:00,1497,266
2019-01-04 03:00:00,2110,678
2019-01-04 04:00:00,2362,985
2019-01-04 05:00:00,2498,1649
2019-01-04 06:00:00,2698,1577
2019-01-04 07:00:00,2262,1636
2019-01-04 08:00:00,2460,1625
2019-01-04 09:00:00,2751,1565
2019-01-04 10:00:00,2809,2117
2019-01-04 11:00:00,2811,2237
2019-01-04 12:00:00,2893,2311
2019-01-04 13:00:00,2614,2476
2019-01-04 14:00:00,2714,2078
2019-01-04 15:00:00,2939,2009
2019-01-04 16:00:00,3097,2077
2019-01-04 17:00:00,3176,2391
2019-01-04 18:00:00,3166,2615
2019-01-04 19:00:00,3112,2402
2019-01-04 20:00:00,3134,2145
2019-01-04 21:00:00,3130,2311
2019-01-04 22:00:00,2984,2495
2019-01-04 23:00:00,2941,2565
2019-01-05 00:00:00,3024,2774
2019-01-05 01:00:00,3259,3169
2019-01-05 02:00:00,3321,3384
2019-01-05 03:00:00,3358,3736
2019-01-05 04:00:00,3402,4004
2019-01-05 05:00:00,3392,4203
2019-01-05 06:00:00,3404,4427
2019-01-05 07:00:00,3338,4325
2019-01-05 08:00:00,3313,4168
2019-01-05 09:00:00,3347,3964
2019-01-05 10:00:00,3357,3951
2019-01-05 11:00:00,3316,4015
2019-01-05 12:00:00,3289,4013
2019-01-05 13:00:00,3193,3930
2019-01-05 14:00:00,3204,3921
2019-01-05 15:00:00,3176,3744
2019-01-05 16:00:00,3108,3635
2019-01-05 17:00:00,2981,3489
2019-01-05 18:00:00,2935,3287
2019-01-05 19:00:00,2878,3013
2019-01-05 20:00:00,2818,3116
2019-01-05 21:00:00,2701,3189
2019-01-05 22:00:00,2749,2690
2019-01-05 23:00:00,2663,2730
2019-01-06 00:00:00,2500,2722
2019-01-06 01:00:00,2298,2508
2019-01-06 02:00:00,2163,2344
2019-01-06 03:00:00,1676,1992
2019-01-06 04:00:00,1679,1577
2019-01-06 05:00:00,1744,1490
2019-01-06 06:00:00,1375,1264
2019-01-06 07:00:00,1027,1513
2019-01-06 08:00:00,1174,1285
2019-01-06 09:00:00,1516,802
2019-01-06 10:00:00,1455,717
2019-01-06 11:00:00,988,621
2019-01-06 12:00:00,999,457
2019-01-06 13:00:00,817,450
2019-01-06 14:00:00,986,539
2019-01-06 15:00:00,918,511
2019-01-06 16:00:00,865,467
2019-01-06 17:00:00,1043,521
2019-01-06 18:00:00,1363,515
2019-01-06 19:00:00,1067,363
2019-01-06 20:00:00,639,281
2019-01-06 21:00:00,581,187
2019-01-06 22:00:00,786,155
2019-01-06 23:00:00,1080,198
2019-01-07 00:00:00,781,295
2019-01-07 01:00:00,521,362
2019-01-07 02:00:00,647,438
2019-01-07 03:00:00,700,624
2019-01-07 04:00:00,582,1047
2019-01-07 05:00:00,593,1223
2019-01-07 06:00:00,869,1221
2019-01-07 07:00:00,507,1138
2019-01-07 08:00:00,581,1229
2019-01-07 09:00:00,1093,1280
2019-01-07 10:00:00,1954,1656
2019-01-07 11:00:00,2786,2102
2019-01-07 12:00:00,3064,2148
2019-01-07 13:00:00,3321,2886
2019-01-07 14:00:00,3424,3866
2019-01-07 15:00:00,3440,4398
2019-01-07 16:00:00,3470,4729
2019-01-07 17:00:00,3479,5065
2019-01-07 18:00:00,3471,5055
2019-01-07 19:00:00,3464,5137
2019-01-07 20:00:00,3450,5230
2019-01-07 21:00:00,3458,5505
2019-01-07 22:00:00,3448,5515
2019-01-07 23:00:00,3444,5450
2019-01-08 00:00:00,3330,5145
2019-01-08 01:00:00,3314,5355
2019-01-08 02:00:00,3197,5302
2019-01-08 03:00:00,3047,5361
2019-01-08 04:00:00,2941,5447
2019-01-08 05:00:00,3073,5502
2019-01-08 06:00:00,3103,5584
2019-01-08 07:00:00,3295,5626
2019-01-08 08:00:00,3105,5590
2019-01-08 09:00:00,2949,5545
2019-01-08 10:00:00,3020,5494
2019-01-08 11:00:00,3103,5603
2019-01-08 12:00:00,2989,5577
2019-01-08 13:00:00,2742,5587
2019-01-08 14:00:00,2712,5553
2019-01-08 15:00:00,2895,5549
2019-01-08 16:00:00,2929,5591
2019-01-08 17:00:00,3090,5532
2019-01-08 18:00:00,3360,5478
2019-01-08 19:00:00,3409,5349
2019-01-08 20:00:00,3411,5366
2019-01-08 21:00:00,3393,5383
2019-01-08 22:00:00,3356,5366
2019-01-08 23:00:00,3355,5169
2019-01-09 00:00:00,3367,4941
2019-01-09 01:00:00,3367,4692
2019-01-09 02:00:00,3367,4584
2019-01-09 03:00:00,3363,4270
2019-01-09 04:00:00,3385,4327
2019-01-09 05:00:00,3360,3979
2019-01-09 06:00:00,3354,3996
2019-01-09 07:00:00,3394,3470
2019-01-09 08:00:00,3381,3551
2019-01-09 09:00:00,3387,3314
2019-01-09 10:00:00,3335,2815
2019-01-09 11:00:00,3366,3277
2019-01-09 12:00:00,3382,3575
2019-01-09 13:00:00,3378,3908
2019-01-09 14:00:00,3396,4058
2019-01-09 15:00:00,3397,4024
2019-01-09 16:00:00,3391,3647
2019-01-09 17:00:00,3335,3326
2019-01-09 18:00:00,3280,3070
2019-01-09 19:00:00,3269,2870
2019-01-09 20:00:00,3306,2583
2019-01-09 21:00:00,3128,2277
2019-01-09 22:00:00,2837,1994
2019-01-09 23:00:00,2587,2055
2019-01-10 00:00:00,2156,1730
2019-01-10 01:00:00,1676,1377
2019-01-10 02:00:00,1150,1080
2019-01-10 03:00:00,907,849
2019-01-10 04:00:00,607,511
2019-01-10 05:00:00,351,358
2019-01-10 06:00:00,128,190
2019-01-10 07:00:00,35,79
2019-01-10 08:00:00,3,38
2019-01-10 09:00:00,78,45
2019-01-10 10:00:00,135,49
2019-01-10 11:00:00,57,26
2019-01-10 12:00:00,117,18
2019-01-10 13:00:00,74,103
2019-01-10 14:00:00,118,92
2019-01-10 15:00:00,124,93
2019-01-10 16:00:00,151,186
2019-01-10 17:00:00,210,350
2019-01-10 18:00:00,338,496
2019-01-10 19:00:00,514,654
2019-01-10 20:00:00,775,766
2019-01-10 21:00:00,790,993
2019-01-10 22:00:00,815,1178
2019-01-10 23:00:00,1136,1144
2019-01-11 00:00:00,1081,1054
2019-01-11 01:00:00,916,970
2019-01-11 02:00:00,1360,671
2019-01-11 03:00:00,1851,740
2019-01-11 04:00:00,2109,866
2019-01-11 05:00:00,1944,1006
2019-01-11 06:00:00,2288,1211
2019-01-11 07:00:00,2481,1472
2019-01-11 08:00:00,2469,1446
2019-01-11 09:00:00,2817,1806
2019-01-11 10:00:00,2480,2020
2019-01-11 11:00:00,2464,2505
2019-01-11 12:00:00,2644,2688
2019-01-11 13:00:00,2677,3025
2019-01-11 14:00:00,2696,3442
2019-01-11 15:00:00,3127,3662
2019-01-11 16:00:00,3331,3571
2019-01-11 17:00:00,3282,3528
2019-01-11 18:00:00,3254,3266
2019-01-11 19:00:00,2869,3355
2019-01-11 20:00:00,2728,2908
2019-01-11 21:00:00,2659,2540
2019-01-11 22:00:00,2577,2380
2019-01-11 23:00:00,2462,2344
2019-01-12 00:00:00,2477,2171
2019-01-12 01:00:00,2573,2357
2019-01-12 02:00:00,2575,2328
2019-01-12 03:00:00,2443,2239
2019-01-12 04:00:00,2697,2726
2019-01-12 05:00:00,2826,2849
2019-01-12 06:00:00,2963,3113
2019-01-12 07:00:00,3026,3946
2019-01-12 08:00:00,3056,4080
2019-01-12 09:00:00,2991,4293
2019-01-12 10:00:00,2704,4756
2019-01-12 11:00:00,2704,5112
2019-01-12 12:00:00,2686,5033
2019-01-12 13:00:00,2838,5017
2019-01-12 14:00:00,2926,4811
2019-01-12 15:00:00,3009,4732
2019-01-12 16:00:00,3031,4446
2019-01-12 17:00:00,3043,4263
2019-01-12 18:00:00,3046,4401
2019-01-12 19:00:00,3049,4503
2019-01-12 20:00:00,3053,4289
2019-01-12 21:00:00,3026,4107
2019-01-12 22:00:00,3018,4009
2019-01-12 23:00:00,2918,3760
2019-01-13 00:00:00,2804,3518
2019-01-13 01:00:00,2646,3309
2019-01-13 02:00:00,2634,2911
2019-01-13 03:00:00,2749,3370
2019-01-13 04:00:00,2738,3664
2019-01-13 05:00:00,3027,4134
2019-01-13 06:00:00,3050,4909
2019-01-13 07:00:00,2960,5238
2019-01-13 08:00:00,3046,5216
2019-01-13 09:00:00,3019,5276
2019-01-13 10:00:00,3045,5291
2019-01-13 11:00:00,3055,5359
2019-01-13 12:00:00,3052,5416
2019-01-13 13:00:00,3059,5503
2019-01-13 14:00:00,3032,5590
2019-01-13 15:00:00,3032,5665
2019-01-13 16:00:00,3049,5667
2019-01-13 17:00:00,3050,5690
2019-01-13 18:00:00,3045,5684
2019-01-13 19:00:00,3050,5573
2019-01-13 20:00:00,3052,5450
2019-01-13 21:00:00,3047,5353
2019-01-13 22:00:00,3033,5344
2019-01-13 23:00:00,3034,5000
2019-01-14 00:00:00,3041,5057
2019-01-14 01:00:00,2950,4702
2019-01-14 02:00:00,3014,4174
2019-01-14 03:00:00,2990,2998
2019-01-14 04:00:00,2992,2440
2019-01-14 05:00:00,3001,2396
2019-01-14 06:00:00,2778,2959
2019-01-14 07:00:00,2694,3474
2019-01-14 08:00:00,2895,3123
2019-01-14 09:00:00,2944,2900
2019-01-14 10:00:00,2934,2626
2019-01-14 11:00:00,2978,3032
2019-01-14 12:00:00,3009,3353
2019-01-14 13:00:00,3003,3816
2019-01-14 14:00:00,2950,3278
2019-01-14 15:00:00,2843,2979
2019-01-14 16:00:00,2848,2796
2019-01-14 17:00:00,2717,2264
2019-01-14 18:00:00,2774,2304
2019-01-14 19:00:00,2676,1975
2019-01-14 20:00:00,2468,1598
2019-01-14 21:00:00,2319,1309
2019-01-14 22:00:00,2035,1235
2019-01-14 23:00:00,1904,874
2019-01-15 00:00:00,2336,1060
2019-01-15 01:00:00,2661,1521
2019-01-15 02:00:00,2958,2164
2019-01-15 03:00:00,2999,3069
2019-01-15 04:00:00,2992,3416
2019-01-15 05:00:00,2998,3447
2019-01-15 06:00:00,2989,3281
2019-01-15 07:00:00,3049,3362
2019-01-15 08:00:00,3304,3806
2019-01-15 09:00:00,3345,3941
2019-01-15 10:00:00,3308,4143
2019-01-15 11:00:00,3290,4334
2019-01-15 12:00:00,3278,4349
2019-01-15 13:00:00,3309,4294
2019-01-15 14:00:00,3309,4306
2019-01-15 15:00:00,3263,4370
2019-01-15 16:00:00,3271,4312
2019-01-15 17:00:00,3308,4321
2019-01-15 18:00:00,3335,4341
2019-01-15 19:00:00,3325,4357
2019-01-15 20:00:00,3334,4365
2019-01-15 21:00:00,3266,4227
2019-01-15 22:00:00,3290,4199
2019-01-15 23:00:00,3295,4004
2019-01-16 00:00:00,3336,4123
2019-01-16 01:00:00,3322,4082
2019-01-16 02:00:00,3255,4070
2019-01-16 03:00:00,3270,4104
2019-01-16 04:00:00,3288,4242
2019-01-16 05:00:00,3282,4346
2019-01-16 06:00:00,3282,4355
2019-01-16 07:00:00,3314,4438
2019-01-16 08:00:00,3319,4620
2019-01-16 09:00:00,3335,4718
2019-01-16 10:00:00,3334,4794
2019-01-16 11:00:00,3327,4760
2019-01-16 12:00:00,3322,4676
2019-01-16 13:00:00,3307,4606
2019-01-16 14:00:00,3312,4337
2019-01-16 15:00:00,3320,4091
2019-01-16 16:00:00,3322,4110
2019-01-16 17:00:00,3323,4282
2019-01-16 18:00:00,3323,4569
2019-01-16 19:00:00,3276,4755
2019-01-16 20:00:00,2936,4906
2019-01-16 21:00:00,2182,5043
2019-01-16 22:00:00,1680,3984
2019-01-16 23:00:00,1733,1674
2019-01-17 00:00:00,2866,1442
2019-01-17 01:00:00,3155,2556
2019-01-17 02:00:00,3181,2980
2019-01-17 03:00:00,3179,2806
2019-01-17 04:00:00,3134,2982
2019-01-17 05:00:00,3068,3089
2019-01-17 06:00:00,3130,3022
2019-01-17 07:00:00,3149,3116
2019-01-17 08:00:00,3009,3149
2019-01-17 09:00:00,3156,2614
2019-01-17 10:00:00,3256,3132
2019-01-17 11:00:00,3014,3921
2019-01-17 12:00:00,2933,3483
2019-01-17 13:00:00,3103,3141
2019-01-17 14:00:00,2906,3450
2019-01-17 15:00:00,2981,3651
2019-01-17 16:00:00,3144,3491
2019-01-17 17:00:00,3216,3239
2019-01-17 18:00:00,3126,3141
2019-01-17 19:00:00,3182,3674
2019-01-17 20:00:00,3193,3361
2019-01-17 21:00:00,3086,3265
2019-01-17 22:00:00,2997,2096
2019-01-17 23:00:00,2312,1344
2019-01-18 00:00:00,1736,1022
2019-01-18 01:00:00,1001,646
2019-01-18 02:00:00,927,396
2019-01-18 03:00:00,592,224
2019-01-18 04:00:00,932,75
2019-01-18 05:00:00,1235,75
2019-01-18 06:00:00,811,231
2019-01-18 07:00:00,683,579
2019-01-18 08:00:00,849,786
2019-01-18 09:00:00,252,781
2019-01-18 10:00:00,246,1114
2019-01-18 11:00:00,507,1230
2019-01-18 12:00:00,484,828
2019-01-18 13:00:00,487,751
2019-01-18 14:00:00,452,683
2019-01-18 15:00:00,365,598
2019-01-18 16:00:00,257,610
2019-01-18 17:00:00,257,606
2019-01-18 18:00:00,309,692
2019-01-18 19:00:00,611,696
2019-01-18 20:00:00,598,644
2019-01-18 21:00:00,482,586
2019-01-18 22:00:00,757,500
2019-01-18 23:00:00,1186,463
2019-01-19 00:00:00,1075,472
2019-01-19 01:00:00,968,457
2019-01-19 02:00:00,1092,446
2019-01-19 03:00:00,1075,491
2019-01-19 04:00:00,1073,543
2019-01-19 05:00:00,1380,683
2019-01-19 06:00:00,1563,879
2019-01-19 07:00:00,1423,1152
2019-01-19 08:00:00,1432,1250
2019-01-19 09:00:00,1631,1287
